Caltrans District,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,Back Peak Hour,Back Peak Month,Back AADT,Ahead Peak Hour,Ahead Peak Month,Ahead AADT,Latitude,Longitude
11,79,,SD,,0,,GUTAY AND PINE VALLEY ,,,,390,2700,2500,32.85245749,-116.5944836
11,79,,SD,,9.27,,PASO PICACHO CAMPGROUND,260,2050,1950,230,1800,1700,32.95958749,-116.5791688
11,79,,SD,,14.44,,SUNRISE HIGHWAY,210,1750,1650,250,1950,1850,33.01091604,-116.5612014
11,79,,SD,,20.22,,JCT. RTE. 78,290,2900,2650,780,4050,3650,33.07644802,-116.598635
11,79,,SD,,27.37,,JCT. RTE. 76 WEST,480,3350,2950,480,3250,2650,33.19978849,-116.7102797
11,79,,SD,,31.7,,SAN FELIPE RD,480,3250,2650,250,2300,1950,33.24934819,-116.6739567
11,79,,SD,,35.07,,"WARNER SPRINGS, LOS TULES ",250,2300,1950,240,2200,1850,33.27955502,-116.633292
11,79,,SD,,44.09,,SUNSHINE SUMMIT,240,2200,1850,290,2250,2100,33.35063943,-116.7372545
11,79,,SD,,49.298,,OAK GROVE,290,2250,2100,310,2300,2150,33.3864795,-116.7915031
11,79,,SD,,53.035,,SAN DIEGO/RIVERSIDE CO LINE,320,2450,1950,,,,33.42684559,-116.8367578
8,79,,RIV,,0,,SAN DIEGO/RIVERSIDE CO LINE,,,,320,2500,2000,33.42684559,-116.8367578
8,79,,RIV,,2.27,,JCT. RTE. 371 EAST,490,3450,3000,940,9000,8100,33.44160499,-116.861756
8,79,,RIV,,5.802,,SAGE RD,970,9000,8100,1050,9900,8500,33.46391052,-116.9145162
8,79,,RIV,R,4.777,,MURRIETA HOT SPRGS RD,2750,32500,30500,2300,27000,25600,33.55262572,-117.1403813
8,79,,RIV,M,7.63,,BENTON RD,2300,27000,25600,1950,23900,22800,33.59210301,-117.12501
8,79,,RIV,R,16.67,,SIMPSON AVE,1200,13200,12800,790,8800,8500,33.70720824,-117.0849171
8,79,,RIV,,25.65,,JCT. RTE. 74,750,8300,8000,1700,18000,17000,33.73911702,-117.076429
8,79,,RIV,,26.4,,MENLO AVE MAIN ST,1450,15400,14600,1150,12800,12100,33.75851201,-116.958689
8,79,,RIV,M,33.78,,GILMAN SPRINGS RD,900,12300,11800,2050,28000,27000,33.84544931,-117.0039563
8,79,,RIV,,39.19,,CALIFORNIA AVE,2150,29500,28500,2000,26500,25500,33.90958563,-116.9815007
8,79,,RIV,,40.449,,"BEAUMONT, JCT. RTE. 10",2150,28000,27000,,,,33.92700355,-116.9771504
4,80,,SF,,3.951,,"SAN FRANCISCO, RTE 101",,,,11200,179000,173000,37.76759987,-122.4049977
4,80,,SF,,4.4,,"SAN FRANCISCO, 7TH/8TH ST",11200,179000,173000,11700,188000,181000,37.77536157,-122.4054545
4,80,,SF,,5.588,R,1ST/HARRISON/BAY BRIDGE ,5200,82000,79000,8000,129000,124000,37.78661984,-122.390031
4,80,,SF,,7.719,R,RIGHT ALIGN TREASURE ISLAND,8000,129000,124000,8000,128000,123000,37.80830178,-122.3669223
4,80,,SF,,5.454,L,"SAN FRANCISCO, BAY BR",6600,105000,101000,6100,97000,94000,37.785468,-122.3916471
4,80,,SF,,5.588,L,1ST/HARRISON/BAY BRIDGE ,6100,97000,94000,8100,128000,125000,37.78661984,-122.390031
4,80,,SF,,7.719,L,LEFT ALIGN TREASURE ISLAND,8100,130000,125000,8000,128000,123000,37.80830178,-122.3669223
4,80,,SF,,8.85,L,S FRANCISCO/ALAMEDA CO LINE,8000,128000,123000,,,,37.81880252,-122.3498872
4,80,,ALA,,0,R,S FRANCISCO/ALAMEDA CO LINE,,,,8000,128000,123000,37.81885383,-122.3496027
4,80,,ALA,,1.27,R,UPPER DECK LNS WEST,8000,128000,123000,8000,128000,126000,37.82199764,-122.3266327
4,80,,ALA,,0,L,S FRANCISCO/ALAMEDA CO LINE,8000,128000,126000,8000,128000,123000,37.81885383,-122.3496027
4,80,,ALA,,1.27,L,END INDEP ALIGN,8000,128000,123000,15900,251000,245000,37.82199764,-122.3266327
4,80,,ALA,,1.989,,OAKLAND BAY BR TOLL ,15900,251000,245000,15900,251000,245000,37.82387305,-122.3135952
4,80,,ALA,,2.509,,"OAKLAND, JCT RTE 880",15900,251000,245000,9400,148000,145000,37.82466116,-122.3083465
4,80,,ALA,,2.802,,"OAKLAND, JCT. RTE. 580 EAST",9400,148000,145000,9400,148000,145000,37.82504628,-122.3053636
4,80,,ALA,,3.786,,"EMERYVILLE, POWELL ST",9400,148000,145000,16800,271000,265000,37.83817378,-122.2964921
4,80,,ALA,,4.582,,"BERKELEY, JCT. RTE. 13 EAST",16800,271000,265000,16800,268000,262000,37.84936194,-122.2989415
4,80,,ALA,,5.823,,"BERKELEY, UNIVERSITY AVE",16800,268000,262000,16600,265000,259000,37.86659905,-122.3036574
4,80,,ALA,,6.62,,"BERKELEY, GILMAN ST",16600,265000,259000,17500,278000,272000,37.8777754,-122.3070955
4,80,,ALA,R,7.3,,"ALBANY, JCT RTE 580",17500,278000,272000,11100,176000,171000,37.88775296,-122.3089415
4,80,,ALA,,8.036,,ALAMEDA/C. COSTA CO LINE,11100,176000,171000,,,,37.89792418,-122.3091911
4,80,,CC,,0,,ALAMEDA/C. COSTA CO LINE,,,,11100,176000,171000,37.89792418,-122.3091911
4,80,,CC,,0.216,,"RICHMOND, CENTRAL AVE",11100,176000,171000,11200,178000,173000,37.90070382,-122.3105657
4,80,,CC,,1,,"RICHMOND, CARLSON BLVD",11200,178000,173000,11700,185000,180000,37.910737,-122.317202
4,80,,CC,,1.671,,"EL CERRITO, POTRERO AVE",11700,185000,180000,10900,171000,167000,37.92061452,-122.317638
4,80,,CC,,2.04,,"RICHMOND, RTE. 123 SOUTH",10900,172000,167000,13000,200000,191000,37.92525723,-122.3205201
4,80,,CC,,2.619,,"RICHMOND, MAC DONALD AVE",13000,198000,191000,12800,195000,188000,37.93238617,-122.3256911
4,80,,CC,,2.961,,"RICHMOND, SAN PABLO AVE",12800,195000,188000,13200,200000,194000,37.93715516,-122.3261011
4,80,,CC,,3.411,,"RICHMOND, SOLANO AVE",13200,201000,194000,12600,192000,185000,37.943451,-122.323686
4,80,,CC,,3.795,,"RICHMOND, MC BRYDE AVE",12600,192000,185000,10300,196000,191000,37.948742,-122.3260027
4,80,,CC,,4.341,,"SAN PABLO, SAN PABLO DAM ",13000,198000,191000,12400,188000,182000,37.95604717,-122.3298272
4,80,,CC,,5.246,,EL PORTAL DRIVE ,12400,188000,182000,12500,190000,183000,37.96593541,-122.3229066
4,80,,CC,,5.983,,"RICHMOND, HILLTOP DRIVE",12500,190000,183000,11500,175000,169000,37.976188,-122.318445
4,80,,CC,,6.6,,RICHMOND PARKWAY,11500,175000,169000,12000,183000,177000,37.98494588,-122.3153743
4,80,,CC,,7.597,,"PINOLE, APPIAN WAY",12000,183000,177000,12300,187000,181000,37.99336182,-122.3015006
4,80,,CC,,8.508,,"PINOLE, PINOLE VALLEY RD ",12300,187000,181000,11900,178000,171000,37.99694802,-122.2862101
4,80,,CC,,10.059,,"HERCULES, JCT. RTE. 4 EAST",11900,178000,171000,7900,122000,116000,38.0150182,-122.2692668
4,80,,CC,,10.685,,"HERCULES, WILLOW AVE ",7900,122000,116000,7300,113000,107000,38.02233088,-122.262454
4,80,,CC,,12.753,,CUMMINGS SKYWAY ,7300,113000,107000,7500,116000,110000,38.04515155,-122.2380592
4,80,,CC,,13.489,,CROCKETT ,7500,116000,110000,7400,114000,108000,38.05204246,-122.2282633
4,80,,CC,,14.139,,CARQUINEZ BRIDGE,7400,114000,108000,,,,38.06096654,-122.2251745
4,80,,SOL,,0,,CARQUINEZ BRIDGE,,,,7400,114000,108000,38.06096654,-122.2251745
4,80,,SOL,,1.144,,"VALLEJO, JCT. RTE. 29 NW",7400,114000,108000,7300,109000,102000,38.07608023,-122.2316812
4,80,,SOL,,1.776,,"VALLEJO, MAGAZINE ST",7300,109000,102000,7500,116000,110000,38.0851575,-122.232852
4,80,,SOL,,2.22,,"VALLEJO, JCT. RTE. 780 SE",7500,116000,110000,9200,137000,132000,38.09129084,-122.2304171
4,80,,SOL,,2.881,,"VALLEJO, GEORGIA ST",9200,137000,132000,9500,141000,136000,38.10078489,-122.2296671
4,80,,SOL,,3.233,,"VALLEJO, SPRINGS RD",9500,141000,136000,9500,143000,137000,38.10588511,-122.2295793
4,80,,SOL,,3.494,,"VALLEJO, TENNESSEE ST",9500,143000,137000,9600,143000,138000,38.10965827,-122.229547
4,80,,SOL,,4.432,,"VALLEJO, REDWOOD ST",9600,143000,138000,8800,131000,126000,38.12314402,-122.2298269
4,80,,SOL,,5.634,,"VALLEJO, JCT. RTE. 37 WEST",8800,131000,126000,7600,113000,109000,38.1388991,-122.2200324
4,80,,SOL,,6.814,,SOLANO/NAPA CO LINE,7600,113000,109000,,,,38.15504723,-122.2145689
4,80,,NAP,,6.814,,SOLANO/NAPA CO LINE,,,,8000,119000,115000,38.15504723,-122.2145689
4,80,,NAP,,8.004,,NAPA/SOLANO CO LINE,8000,119000,115000,,,,38.16840243,-122.2012218
4,80,,SOL,,8.004,,NAPA/SOLANO CO LINE,,,,7600,113000,109000,38.16840243,-122.2012218
4,80,,SOL,,8.103,,AMERICAN CANYON RD,7600,113000,109000,7700,114000,110000,38.16930927,-122.199914
4,80,,SOL,R,11.394,,RED TOP RD,7700,114000,110000,7700,113000,109000,38.20192417,-122.1569806
